SGA-DP200407,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3738,2.8968,,0.9745,,0.34179,0.356482,,,34.67065327,82.497,6.671,
2,2.389,2.87844,,1.0861,,0.340362,0.355806,,,34.68251256,82.167,5.696,
3,2.379,2.87588,,0.9807,,0.34109,0.353061,,,34.51718593,82.98,9.571,
4,2.3819,2.87901,,0.9728,,0.340461,0.354338,,,34.46994975,82.793,8.592,
5,2.3821,2.86017,,1.095,,0.340922,0.354769,,,34.49316583,82.515,7.057,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,2.3869,2.86869,,1.2225,,0.330028,0.3481,,,34.69306533,81.795,4.993,
12,2.3884,2.88667,,1.2559,,0.32926,0.347754,,,34.64160804,82.013,5.621,
13,2.3932,2.8843,,1.0898,,0.3294,0.348075,,,34.53246231,81.553,4.722,
14,2.3878,2.86907,,1.1961,,0.328995,0.348079,,,34.65226131,81.904,5.083,
15,2.3865,2.89329,,1.1501,,0.329265,0.348244,,,34.61778894,81.603,4.378,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,2.3472,2.86576,,0.9776,,0.307659,0.32324,,,33.22924623,84.645,20.075,
22,2.3449,2.87862,,0.9171,,0.307568,0.321357,,,33.16100503,84.669,19.812,
23,2.3464,2.88449,,1.0146,,0.307988,0.322786,,,33.27567839,84.575,18.796,
24,2.3526,2.87891,,0.9863,,0.309504,0.321614,,,33.33798995,85.318,23.313,
25,2.3501,2.87219,,0.9963,,0.307867,0.32073,,,33.13115578,85.203,23.056,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
