SGA-DP200175,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,4.7095,6.18853,,0.9167,,0.347741,0.36133,,,141.2221106,83.007,7.212,
2,4.6968,6.20604,,0.9185,,0.348345,0.359007,,,140.5859296,83.635,10.192,
3,4.7165,6.1784,,0.9167,,0.345826,0.359712,,,140.3457286,83.143,7.491,
4,4.7244,6.17358,,0.9177,,0.349564,0.361238,,,139.0884422,83.254,8.589,
5,4.7182,6.17614,,0.9167,,0.346384,0.361751,,,140.4291457,82.765,5.603,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,4.6361,6.24777,,0.9146,,0.333906,0.347441,,,137.5497487,85.075,16.705,
12,4.6386,6.2612,,0.9185,,0.333078,0.349455,,,137.8301508,84.349,12.625,
13,4.6363,6.25477,,0.9144,,0.334396,0.348274,,,137.8703518,84.84,15.46,
14,4.6594,6.23244,,0.9156,,0.333827,0.347971,,,137.9356784,84.863,15.493,
15,4.6488,6.23575,,0.9167,,0.33471,0.348349,,,137.2331658,84.759,14.48,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,4.6999,6.33965,,0.915,,0.308961,0.327741,,,142.7939698,82.717,6.781,
22,4.698,6.35725,,0.9152,,0.307782,0.32398,,,140.3929648,83.614,12.267,
23,4.6816,6.35299,,0.9163,,0.309729,0.329825,,,143.8512563,83.16,8.314,
24,4.7041,6.34069,,0.9148,,0.308191,0.325131,,,142.1376884,83.334,10.408,
25,4.6777,6.33776,,0.9163,,0.309262,0.328015,,,141.7738693,83.818,13.085,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
