SGA-DP200176,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,4.6484,6.17973,,0.9158,,0.400994,0.388011,,,133.0703518,84.727,17.207,
7,4.6494,6.15541,,0.9181,,0.399683,0.386078,,,130.3628141,84.776,17.599,
8,4.6373,6.16147,,0.9167,,0.401571,0.391919,,,131.5929648,84.536,16.135,
9,4.6558,6.17216,,0.9177,,0.400947,0.387949,,,132.7929648,84.876,17.905,
10,4.6538,6.1363,,0.9185,,0.402183,0.392201,,,134.0130653,84.194,14.434,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,4.7242,6.32659,,0.9169,,0.378112,0.380636,,,144.0854271,82.336,7.687,
17,4.7292,6.35413,,0.9181,,0.376128,0.37749,,,144.6040201,82.758,9.823,
18,4.7072,6.33341,,0.9158,,0.377817,0.380335,,,144.1407035,82.76,9.211,
19,4.7249,6.34429,,0.9167,,0.378381,0.379602,,,144.6673367,82.513,8.565,
20,4.7267,6.35053,,0.9169,,0.37749,0.380493,,,144.5396985,82.486,8.571,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,4.6854,6.42567,,0.9167,,0.351667,0.358276,,,138.0512563,85.93,26.22,
27,4.6806,6.42141,,0.9171,,0.352211,0.359607,,,138.5306533,85.895,25.901,
28,4.6891,6.37807,,0.9167,,0.352183,0.358988,,,136.5497487,85.904,25.686,
29,4.6781,6.38327,,0.9181,,0.352556,0.358965,,,137.6984925,86.04,26.416,
30,4.6802,6.42179,,0.9171,,0.353025,0.359815,,,138.8030151,85.939,26.3,
