SGA-DPXXXXXX,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3848,2.86103,,1.1994,,0.341948,0.354788,,,34.27638191,82.951,9.127,
2,2.3855,2.87872,,0.9961,,0.341794,0.355284,,,34.46361809,82.666,7.834,
3,2.3853,2.87967,,0.9689,,0.341083,0.354432,,,34.39115578,82.63,7.432,
4,2.3848,2.85601,,0.9566,,0.342365,0.35549,,,34.52160804,82.81,7.928,
5,2.3801,2.8756,,0.9859,,0.342894,0.356014,,,34.53798995,82.807,8.029,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,2.3855,2.86311,,1.2695,,0.326865,0.345229,,,34.60723618,81.934,5.913,
12,2.3836,2.86822,,1.0928,,0.329958,0.34743,,,34.69467337,81.948,6.123,
13,2.3796,2.86945,,1.2075,,0.330908,0.349428,,,34.58361809,81.406,3.717,
14,2.3823,2.87834,,1.146,,0.328272,0.347284,,,34.49537688,81.636,4.301,
15,2.389,2.88903,,1.1528,,0.330651,0.349093,,,34.68432161,81.81,5.028,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,2.3476,2.87862,,0.9894,,0.307934,0.323056,,,33.16562814,84.588,19.396,
22,2.3514,2.87617,,0.9171,,0.309823,0.322148,,,33.22110553,85.098,22.263,
23,2.3528,2.87919,,0.9171,,0.307863,0.321227,,,33.17708543,84.844,20.884,
24,2.3562,2.87456,,0.9857,,0.309362,0.321035,,,33.19567839,85.258,23.133,
25,2.3451,2.88014,,1.0458,,0.309007,0.324677,,,33.41638191,84.125,16.603,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
