日時,機種,LotNo,測定箇所,強度,破壊モード,コメント,,強度,破壊モード,コメント,変更内容,修正理由
2021/02/19 16:03:32,MHL944H4711C4W0AA,20924DD012,DS-ZD,103.13,2,,→, , , ,データ消去,異物による為
2021/02/19 16:04:08,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.118,2,,→, , , ,データ消去,異物による為
2021/02/19 16:04:21,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.681,2,,→, , , ,データ消去,異物による為
2021/02/19 16:04:29,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.649,2,,→, , , ,データ消去,吸着不足により基板が動いてしまった為
2021/02/19 16:04:48,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.396,2,,→, , , ,データ消去,テスト
2021/02/19 16:05:00,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,13.020,2,,→, , , ,データ消去,異物による為
2021/02/19 16:05:10,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.825,2,,→, , , ,データ消去,異物による為
2021/02/19 16:05:26,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.950,2,,→, , , ,データ消去,吸着不足により基板が動いてしまった為
2021/02/19 16:05:41,MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.806,2,,→, , , ,データ消去,異物による為
2021/02/19 16:06:47,MHL944H4711C4W0AA,20924DD012,PC-ZD-Pull,12.569,2,,→, , , ,データ消去,吸着不足により基板が動いてしまった為
2021/02/19 16:53:55,CLU028H0701C4-000,20903DD006,DS-LED-Blue,664.43,2,,→, , , ,データ消去,異物による為
2021/02/19 16:53:58,CLU028H0701C4-000,20903DD006,DS-LED-Blue,537.57,2,,→, , , ,データ消去,異物による為
2021/02/19 16:54:04,CLU028H0701C4-000,20903DD006,DS-LED-Blue,554.72,2,,→, , , ,データ消去,異物による為
2021/02/19 16:54:18,CLU028H0701C4-000,20903DD006,DS-LED-Blue,417.08,2,,→, , , ,データ消去,異物による為
2021/02/19 16:54:24,CLU028H0701C4-000,20903DD006,DS-LED-Blue,399.73,2,,→, , , ,データ消去,異物による為
2021/02/19 16:54:31,CLU028H0701C4-000,20903DD006,DS-LED-Blue,375.72,2,,→, , , ,データ消去,異物による為
2021/02/19 16:54:45,CLU028H0701C4-000,20903DD006,DS-LED-Blue,274.90,1,,→, , , ,データ消去,異物による為
2021/02/22 8:49:27,CLU028H0701C4-000,20903DD005,BS-LED-Anode,64.341,4,,→, , , ,データ消去,吸着不足により基板が動いてしまった為
2021/02/22 8:49:42,CLU028H0701C4-000,20903DD005,BS-LED-Anode,61.929,4,,→, , , ,データ消去,異物による為
2021/02/22 8:56:11,CLU028H0701C4-000,20903DD005,BS-LED-Anode,63.101,4,,→, , , ,データ消去,異物による為
2021/02/22 9:02:02,CLU028H0701C4-000,20903DD005,BS-LED-Cathode,59.053,4,,→, , , ,データ消去,吸着不足により基板が動いてしまった為
2021/02/22 9:02:10,CLU028H0701C4-000,20903DD005,BS-LED-Cathode,53.969,4,,→, , , ,データ消去,異物による為
2021/02/22 9:02:21,CLU028H0701C4-000,20903DD005,BS-LED-Cathode,58.066,4,,→, , , ,データ消去,異物による為
2021/02/22 9:54:24,CLU028H0701C4-000,20903DD005,DS-LED-Blue,660.90,2,,→, , , ,データ消去,異物による為
2021/02/22 9:54:30,CLU028H0701C4-000,20903DD005,DS-LED-Blue,598.47,2,,→, , , ,データ消去,異物による為
2021/02/22 9:54:36,CLU028H0701C4-000,20903DD005,DS-LED-Blue,415.09,2,,→, , , ,データ消去,異物による為
2021/02/22 9:54:41,CLU028H0701C4-000,20903DD005,DS-LED-Blue,492.29,2,,→, , , ,データ消去,異物による為
2021/02/22 9:54:52,CLU028H0701C4-000,20903DD005,DS-LED-Blue,496.53,2,,→, , , ,データ消去,異物による為
2021/02/22 9:54:58,CLU028H0701C4-000,20903DD005,DS-LED-Blue,608.96,2,,→, , , ,データ消去,異物による為
2021/02/22 9:57:24,CLU028H0701C4-000,20903DD005,DS-LED-Blue,263.95,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:18,CLU028H0701C4-000,20903DD005,DS-LED-Blue,598.47,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:21,CLU028H0701C4-000,20903DD005,DS-LED-Blue,263.95,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:24,CLU028H0701C4-000,20903DD005,DS-LED-Blue,608.96,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:27,CLU028H0701C4-000,20903DD005,DS-LED-Blue,496.53,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:30,CLU028H0701C4-000,20903DD005,DS-LED-Blue,492.29,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:33,CLU028H0701C4-000,20903DD005,DS-LED-Blue,660.90,2,,→, , , ,データ消去,異物による為
2021/02/22 10:08:53,CLU028H0701C4-000,20903DD005,DS-LED-Blue,415.09,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:00,CLU028H0701C4-000,20903DD005,DS-LED-Blue,598.47,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:02,CLU028H0701C4-000,20903DD005,DS-LED-Blue,660.90,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:04,CLU028H0701C4-000,20903DD005,DS-LED-Blue,415.09,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:06,CLU028H0701C4-000,20903DD005,DS-LED-Blue,263.95,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:08,CLU028H0701C4-000,20903DD005,DS-LED-Blue,492.29,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:11,CLU028H0701C4-000,20903DD005,DS-LED-Blue,608.96,2,,→, , , ,データ消去,異物による為
2021/02/22 10:14:15,CLU028H0701C4-000,20903DD005,DS-LED-Blue,496.53,2,,→, , , ,データ消去,異物による為
2021/02/22 11:32:43,MHL944H4711C4W0AA,20924DD014,BS-ZD-Ball,41.107,4,,→, , , ,データ消去,異物による為
2021/02/22 11:36:37,MHL944H4711C4W0AA,20924DD017,BS-LED-Anode,44.720,4,,→,44.720,8,,破壊モード変更,ためし
2021/02/22 11:36:51,MHL944H4711C4W0AA,20924DD017,BS-LED-Anode,45.754,4,,→,45.754,4,てｍし,コメント変更,異物による為
2021/02/22 11:42:42,MHL944H4711C4W0AA,20923DD002,PC-ZD-P-P,12.678,2,,→, , , ,データ消去,異物による為
2021/02/22 11:42:45,MHL944H4711C4W0AA,20923DD002,PC-ZD-P-P,12.390,2,,→, , , ,データ消去,異物による為
2021/02/22 11:42:48,MHL944H4711C4W0AA,20923DD002,PC-ZD-P-P,12.316,2,,→, , , ,データ消去,異物による為
2021/02/22 11:43:17,MHL944H4711C4W0AA,20923DD006,BS-LED-Anode,41.481,4,,→, , , ,データ消去,異物による為
2021/02/22 11:43:23,MHL944H4711C4W0AA,20923DD006,BS-LED-Anode,44.012,4,,→, , , ,データ消去,異物による為
