機種,LotNo,測定者,設備No,日時,測定箇所,項目,測定値[mm],判定,メジャリング
CU0209-1201E1W11-00E-6062,21927DD001,32,111,2021-09-27 16:53:08,プラス側,幅 Y,0.832,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,32,111,2021-09-27 16:53:19,プラス側,幅 Y,0.842,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,32,111,2021-09-27 16:53:27,プラス側,高さ Z,0.542,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,32,111,2021-09-27 16:53:40,プラス側,クリアランス Y,0.942,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,32,111,2021-09-27 16:53:50,マイナス側,クリアランス Y,0.842,OK,WB
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:25,プラス側,幅 Y,0.056,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:29,プラス側,高さ Z,0.01,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:30,プラス側,外径 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:31,プラス側,内径 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:32,プラス側,クリアランス Y,0.056,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:35,プラス側,幅 Y,0.056,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:36,プラス側,高さ Z,0.01,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:36,プラス側,外径 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:37,プラス側,内径 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:37,プラス側,クリアランス Y,0.056,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:38,マイナス側,幅 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:38,マイナス側,高さ Z,0.01,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:39,マイナス側,外径 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:39,マイナス側,内径 Y,0.056,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,34,77,2021-09-29 11:47:40,マイナス側,クリアランス Y,0.056,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21927DD001,q,2,2021-09-29 14:18:38,プラス側,幅 Y,0.01,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21927DD001,q,2,2021-09-29 14:18:40,プラス側,高さ Z,0.156,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21927DD001,q,2,2021-09-29 14:18:40,プラス側,外径 Y,0.01,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21927DD001,q,2,2021-09-29 14:18:41,プラス側,内径 Y,0.009,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21927DD001,q,2,2021-09-29 14:18:41,プラス側,クリアランス Y,0.01,NG,MM-400/L No.3414246
